iter	RMSE
0	0.4453783934
1	0.4345393129
2	0.4250102274
3	0.4153150594
4	0.4067702806
5	0.3991536376
6	0.3915943016
7	0.3843890689
8	0.3779090356
9	0.3709863061
10	0.365086788
11	0.3596947563
12	0.3545471169
13	0.3497780144
14	0.3453460479
15	0.3411342673
16	0.3372220216
17	0.3333822478
18	0.3300228439
19	0.3269076209
20	0.3239676796
21	0.321147455
22	0.3186695866
23	0.3162381647
24	0.314013876
25	0.3119091521
26	0.3098185073
27	0.3079082746
28	0.3059037028
29	0.3041378458
30	0.3022120031
31	0.3006645008
32	0.2992581277
33	0.2977084628
34	0.2964458416
35	0.2953353752
36	0.2941101638
37	0.2928672537
38	0.2917637506
39	0.2906323264
40	0.2897362154
41	0.2888913284
42	0.2880623569
43	0.2871611233
44	0.2860656125
45	0.2853092648
46	0.284386765
47	0.2837032042
48	0.283034008
49	0.2818968662
50	0.2810827673
51	0.280364465
52	0.2796536385
53	0.2789468903
54	0.2782206517
55	0.2776641176
56	0.2769952187
57	0.2765334576
58	0.2760622618
59	0.2755500223
60	0.2750541889
61	0.2743869502
62	0.2738425539
63	0.2731984345
64	0.2728177001
65	0.2722189485
66	0.2716010336
67	0.2709081748
68	0.2704166583
69	0.269792264
70	0.2694183656
71	0.268921458
72	0.2683348279
73	0.2679623313
74	0.2674493684
75	0.266895872
76	0.2665076272
77	0.2660397084
78	0.2654059514
79	0.265033456
80	0.2647944461
81	0.2642812792
82	0.2636639941
83	0.2632147036
84	0.2628777288
85	0.2625902472
86	0.2621287393
87	0.2619335264
88	0.2615537461
89	0.2612533584
90	0.2608167274
91	0.2602376352
92	0.2597388237
93	0.2594612132
94	0.2591106858
95	0.2588615718
96	0.2585010447
97	0.2581552535
98	0.2578355574
99	0.2574325475
100	0.2570871541
101	0.2567102462
102	0.2563952488
103	0.2560025069
104	0.2556443627
105	0.255367043
106	0.2549498036
107	0.2546419831
108	0.2543031348
109	0.2539595888
110	0.2536830526
111	0.2533819351
112	0.2530779945
113	0.252630869
114	0.2521910431
115	0.2519399868
116	0.2517742038
117	0.2514297408
118	0.2509331992
119	0.2505729865
120	0.2501976604
121	0.2498667709
122	0.2493723233
123	0.2488729469
124	0.248426727
125	0.2480660927
126	0.2476419753
127	0.2473549419
128	0.2469665721
129	0.2466764202
130	0.2463775552
131	0.2462319514
132	0.2459711664
133	0.2455912209
134	0.2453647322
135	0.2449454084
136	0.2443645242
137	0.2439883941
138	0.2434600573
139	0.2429469106
140	0.2427015894
141	0.2424670377
142	0.2420059517
143	0.241645908
144	0.2413578952
145	0.2410133796
146	0.240532841
147	0.2401742454
148	0.2398340117
149	0.2395787096
150	0.2390476981
151	0.2385962902
152	0.2380945913
153	0.2377319762
154	0.2373056904
155	0.2371419554
156	0.2364952274
157	0.2361073619
158	0.2356365704
159	0.2353594398
160	0.2348284286
161	0.2344168225
162	0.2340465477
163	0.2336141526
164	0.2334113705
165	0.2329099088
166	0.2326616103
167	0.2323297552
168	0.2319721662
169	0.2316207509
170	0.2313514171
171	0.2309110966
172	0.2303775712
173	0.2300544784
174	0.229773785
175	0.2290985282
176	0.2286156889
177	0.2283533135
178	0.2279598944
179	0.2277409085
180	0.2274293636
181	0.2270146373
182	0.2264216126
183	0.2261270812
184	0.2256731789
185	0.2253875243
186	0.2250557699
187	0.2244806856
188	0.2241587446
189	0.2238011764
190	0.2235273643
191	0.2233482001
192	0.2230962414
193	0.2227727772
194	0.2224069209
195	0.2218001355
196	0.2215370018
197	0.2212205776
198	0.2208044069
199	0.2203351102
200	0.2201726219
201	0.2197573032
202	0.2194810963
203	0.2189483161
204	0.2187885801
205	0.2185590274
206	0.218275838
207	0.217748766
208	0.2173971714
209	0.2166961611
210	0.216389515
211	0.2159682047
212	0.2156577629
213	0.2153304295
214	0.2148001677
215	0.2142716709
216	0.2138571842
217	0.2136393753
218	0.2129808382
219	0.2125147356
220	0.2123147116
221	0.2121388418
222	0.2115844326
223	0.211070868
224	0.2106715424
225	0.2105305359
226	0.2103214287
227	0.2100473863
228	0.2095377309
229	0.2093451218
230	0.2091594414
231	0.2088230914
232	0.2084162085
233	0.2081800316
234	0.2078845482
235	0.2074881683
236	0.2070025721
237	0.2068189153
238	0.2065964605
239	0.2062697178
240	0.2058654515
241	0.2054156436
242	0.2050863935
243	0.2046851535
244	0.2044739905
245	0.2041149049
246	0.2037502044
247	0.2032079644
248	0.2025735431
249	0.2025011896
250	0.2021859741
251	0.2019730913
252	0.2015745044
253	0.201103339
254	0.2007280632
255	0.2005508684
256	0.2003377122
257	0.1999803696
258	0.199594021
259	0.1991540213
260	0.198935546
261	0.1984907525
262	0.1983487068
263	0.1978586449
264	0.1974668603
265	0.1971932983
266	0.1966343692
267	0.1963241359
268	0.1961266472
269	0.1956926636
270	0.195363813
271	0.1948565499
272	0.1944878381
273	0.194082434
274	0.193845892
275	0.1934249336
276	0.1930851485
277	0.1926521055
278	0.1922482221
279	0.1919732869
280	0.191604167
281	0.191278744
282	0.1910462228
283	0.1905625765
284	0.1902936242
285	0.1898080848
286	0.1894208743
287	0.1889274168
288	0.1886912333
289	0.1885741457
290	0.188270357
291	0.1879979272
292	0.187896356
293	0.1875634148
294	0.1873238679
295	0.1872478724
296	0.1870951098
297	0.1868201099
298	0.1866029758
299	0.186331656
