iter	Passed	Remaining
0	13	3988
1	26	3893
2	38	3773
3	49	3698
4	61	3652
5	73	3621
6	87	3650
7	99	3648
8	112	3634
9	124	3622
10	137	3603
11	150	3617
12	164	3636
13	181	3703
14	194	3695
15	206	3664
16	219	3650
17	231	3627
18	243	3605
19	255	3583
20	268	3560
21	280	3539
22	292	3524
23	305	3509
24	317	3491
25	329	3471
26	341	3455
27	354	3442
28	368	3439
29	381	3434
30	394	3420
31	406	3404
32	418	3389
33	431	3376
34	444	3366
35	457	3351
36	469	3336
37	481	3320
38	493	3304
39	505	3286
40	517	3268
41	529	3253
42	541	3236
43	553	3220
44	566	3207
45	578	3191
46	590	3179
47	603	3170
48	616	3156
49	629	3145
50	640	3128
51	652	3113
52	665	3103
53	678	3090
54	690	3076
55	702	3061
56	715	3050
57	728	3038
58	740	3023
59	752	3009
60	764	2994
61	776	2979
62	788	2967
63	800	2953
64	814	2943
65	827	2934
66	840	2921
67	851	2906
68	864	2893
69	876	2880
70	889	2869
71	902	2857
72	915	2845
73	928	2835
74	940	2821
75	952	2806
76	963	2791
77	976	2778
78	988	2765
79	1002	2755
80	1014	2742
81	1026	2728
82	1038	2715
83	1051	2702
84	1063	2689
85	1075	2676
86	1088	2664
87	1101	2654
88	1114	2642
89	1126	2629
90	1138	2615
91	1150	2602
92	1162	2588
93	1174	2574
94	1186	2561
95	1199	2548
96	1211	2535
97	1223	2522
98	1235	2509
99	1248	2496
100	1261	2484
101	1274	2473
102	1287	2461
103	1299	2448
104	1311	2434
105	1323	2421
106	1335	2408
107	1346	2394
108	1358	2381
109	1370	2367
110	1382	2354
111	1394	2341
112	1406	2327
113	1419	2315
114	1431	2302
115	1443	2289
116	1455	2276
117	1467	2263
118	1480	2252
119	1494	2241
120	1507	2229
121	1521	2219
122	1534	2208
123	1548	2198
124	1562	2187
125	1576	2176
126	1589	2164
127	1602	2153
128	1616	2142
129	1629	2130
130	1642	2118
131	1655	2106
132	1667	2094
133	1680	2082
134	1693	2069
135	1706	2058
136	1721	2048
137	1735	2037
138	1748	2025
139	1761	2013
140	1774	2000
141	1787	1988
142	1799	1975
143	1812	1963
144	1824	1950
145	1837	1937
146	1850	1925
147	1862	1913
148	1875	1900
149	1888	1888
150	1901	1875
151	1913	1863
152	1926	1851
153	1939	1838
154	1952	1826
155	1964	1813
156	1976	1800
157	1989	1787
158	2002	1775
159	2015	1763
160	2027	1750
161	2041	1738
162	2053	1726
163	2066	1713
164	2078	1700
165	2091	1688
166	2104	1676
167	2118	1664
168	2131	1651
169	2144	1639
170	2157	1627
171	2170	1615
172	2184	1603
173	2197	1591
174	2210	1578
175	2223	1566
176	2235	1553
177	2250	1542
178	2263	1529
179	2276	1517
180	2289	1505
181	2302	1492
182	2315	1480
183	2327	1467
184	2356	1465
185	2372	1453
186	2384	1441
187	2396	1427
188	2409	1415
189	2422	1402
190	2435	1389
191	2448	1377
192	2461	1364
193	2472	1351
194	2485	1338
195	2500	1326
196	2512	1313
197	2525	1300
198	2537	1288
199	2550	1275
200	2563	1262
201	2577	1250
202	2589	1237
203	2602	1224
204	2616	1212
205	2630	1200
206	2644	1188
207	2659	1176
208	2672	1163
209	2685	1150
210	2697	1137
211	2710	1125
212	2724	1112
213	2736	1099
214	2749	1086
215	2762	1074
216	2774	1061
217	2787	1048
218	2800	1035
219	2813	1023
220	2825	1010
221	2837	997
222	2850	984
223	2862	971
224	2876	958
225	2889	945
226	2901	933
227	2914	920
228	2926	907
229	2939	894
230	2952	881
231	2965	869
232	2977	856
233	2989	843
234	3002	830
235	3014	817
236	3027	804
237	3040	792
238	3053	779
239	3067	766
240	3080	754
241	3094	741
242	3107	729
243	3120	716
244	3133	703
245	3146	690
246	3158	677
247	3172	665
248	3185	652
249	3198	639
250	3211	626
251	3223	614
252	3236	601
253	3249	588
254	3262	575
255	3275	562
256	3288	550
257	3301	537
258	3314	524
259	3326	511
260	3339	498
261	3351	486
262	3364	473
263	3377	460
264	3390	447
265	3404	435
266	3417	422
267	3429	409
268	3442	396
269	3455	383
270	3468	371
271	3480	358
272	3493	345
273	3506	332
274	3518	319
275	3531	307
276	3545	294
277	3558	281
278	3572	268
279	3585	256
280	3598	243
281	3611	230
282	3623	217
283	3636	204
284	3649	192
285	3661	179
286	3675	166
287	3688	153
288	3702	140
289	3715	128
290	3729	115
291	3742	102
292	3755	89
293	3767	76
294	3779	64
295	3792	51
296	3805	38
297	3818	25
298	3831	12
299	3844	0
